"id","lfhotelid","agenthotelid","caption_en","caption_zh","picurl","picsize","source","picture_id","updatetime","pic_path","pic_filesize"
"2998887","59","752532","Others","其他","http://dimg04.c-ctrip.com/images//0222d1200095hv2n86359_R_550_412.jpg",,"2",,"5/8/2022 16:00:08",,
"2998888","59","752532","Others","其他","http://dimg04.c-ctrip.com/images//220t1e000001ftxkg4EB9_R_550_412.jpg",,"2",,"5/8/2022 16:00:08",,
"2998889","59","752532","Others","其他","http://dimg04.c-ctrip.com/images//220u1e000001ftuuc4049_R_550_412.jpg",,"2",,"5/8/2022 16:00:08",,
"2998890","59","752532","Others","Others","http://dimg04.c-ctrip.com/images//0221n120009ihk2xe0EF0_R_550_412.jpg",,"2",,"14/7/2022 19:18:03",,
"2998891","59","752532","Others","其他","http://dimg04.c-ctrip.com/images//220d0g0000007z0la3267_R_550_412.jpg",,"2",,"5/8/2022 16:00:08",,
"2998892","59","752532","Others","其他","http://dimg04.c-ctrip.com/images//220j0g0000007zi13EE50_R_550_412.jpg",,"2",,"5/8/2022 16:00:08",,
"3022514","59","205",,,"https://pix8.agoda.net/hotelImages/6496662/0/212998c2a85f4168b9344c33c595dbde.jpg?ca=9&ce=1&s=312x","312x","1","80898762","14/7/2022 19:21:47",,
"3022515","59","205","Swimming pool","游泳池","https://pix8.agoda.net/hotelImages/205/-1/2ace0cb0404671e8c9cb4bf80996b5cf.jpg?ca=8&ce=1&s=312x","312x","1","74418490","14/7/2022 19:21:47",,
"3022516","59","205","Reception","前台","https://pix8.agoda.net/hotelImages/205/-1/c39c99d7273f53c68dcd5de51c36b7ce.jpg?ca=8&ce=1&s=312x","312x","1","74418334","14/7/2022 19:21:47",,
"3022517","59","205","Bedroom","卧室","https://pix8.agoda.net/hotelImages/205/-1/59d32730f9e2102c5ec8f6effb9c38cc.jpg?ca=8&ce=1&s=312x","312x","1","74418341","14/7/2022 19:21:47",,
"3116875","59","561779","Primary image","主图片","https://i.travelapi.com/lodging/1000000/570000/561800/561779/4920a634_b.jpg","350px","0","3","26/5/2023 04:48:33",,
"3116876","59","561779","Primary image","主图片","https://i.travelapi.com/lodging/1000000/570000/561800/561779/4920a634_z.jpg","1000px","0","3","26/5/2023 04:48:33","/mnt/73_hotel_pic/Spain/Granada/561779/0/3116876.jpg","228.804"
"3116877","59","561779","Primary image","主图片","https://i.travelapi.com/lodging/1000000/570000/561800/561779/4920a634_t.jpg","70px","0","3","26/5/2023 04:48:33",,
"3116878","59","561779","Lobby","大堂","https://i.travelapi.com/lodging/1000000/570000/561800/561779/127d1f27_b.jpg","350px","0","10001","24/7/2023 08:10:27",,
"3116879","59","561779","Lobby","大堂","https://i.travelapi.com/lodging/1000000/570000/561800/561779/127d1f27_z.jpg","1000px","0","10001","24/7/2023 08:10:27","/mnt/73_hotel_pic/Spain/Granada/561779/0/3116879.jpg","275.732"
"3116880","59","561779","Lobby","大堂","https://i.travelapi.com/lodging/1000000/570000/561800/561779/127d1f27_t.jpg","70px","0","10001","24/7/2023 08:10:27",,
"3116881","59","561779","Reception","前台","https://i.travelapi.com/lodging/1000000/570000/561800/561779/dd782024_b.jpg","350px","0","10002","24/7/2023 08:10:27",,
"3116882","59","561779","Reception","前台","https://i.travelapi.com/lodging/1000000/570000/561800/561779/dd782024_z.jpg","1000px","0","10002","24/7/2023 08:10:27","/mnt/73_hotel_pic/Spain/Granada/561779/0/3116882.jpg","232.342"
"3116883","59","561779","Reception","前台","https://i.travelapi.com/lodging/1000000/570000/561800/561779/dd782024_t.jpg","70px","0","10002","24/7/2023 08:10:27",,
"3116884","59","561779","Room","客房","https://i.travelapi.com/lodging/1000000/570000/561800/561779/b00c3036_b.jpg","350px","0","21001","24/7/2023 08:10:27",,
"3116885","59","561779","Room","客房","https://i.travelapi.com/lodging/1000000/570000/561800/561779/b00c3036_z.jpg","1000px","0","21001","24/7/2023 08:10:27","/mnt/73_hotel_pic/Spain/Granada/561779/0/3116885.jpg","119.454"
"3116886","59","561779","Room","客房","https://i.travelapi.com/lodging/1000000/570000/561800/561779/b00c3036_t.jpg","70px","0","21001","24/7/2023 08:10:27",,
